題號,題目(英),選項(英),正確答案,答案備註,解析(中),題目(中),選項(中)
101,"A solutions architect is designing a VPC with public and private subnets. The VPC and subnets use IPv4 CIDR blocks. There is one public
subnet and one private subnet in each of three Availability Zones (AZs) for high availability. An internet gateway is used to provide internet
access for the public subnets. The private subnets require access to the internet to allow Amazon EC2 instances to download software
updates.
What should the solutions architect do to enable Internet access for the private subnets?","A. Create three NAT gateways, one for each public subnet in each AZ. Create a private route table for each AZ that forwards non-VPC
trac to the NAT gateway in its AZ.
B. Create three NAT instances, one for each private subnet in each AZ. Create a private route table for each AZ that forwards non-VPC
trac to the NAT instance in its AZ.
C. Create a second internet gateway on one of the private subnets. Update the route table for the private subnets that forward non-VPC
trac to the private internet gateway.
D. Create an egress-only internet gateway on one of the public subnets. Update the route table for the private subnets that forward non-
VPC trac to the egress-only Internet gateway.",A,A (98% community votes),,,
102,"A company wants to migrate an on-premises data center to AWS. The data center hosts an SFTP server that stores its data on an NFS-based
le system. The server holds 200 GB of data that needs to be transferred. The server must be hosted on an Amazon EC2 instance that uses an
Amazon Elastic File System (Amazon EFS) le system.
Which combination of steps should a solutions architect take to automate this task? (Choose two.)","A. Launch the EC2 instance into the same Availability Zone as the EFS le system.
B. Install an AWS DataSync agent in the on-premises data center.
C. Create a secondary Amazon Elastic Block Store (Amazon EBS) volume on the EC2 instance for the data.
D. Manually use an operating system copy command to push the data to the EC2 instance.
E. Use AWS DataSync to create a suitable location conguration for the on-premises SFTP server.",AB,AB (PDF answer),,,
103,"A company has an AWS Glue extract, transform, and load (ETL) job that runs every day at the same time. The job processes XML data that is
in an Amazon S3 bucket. New data is added to the S3 bucket every day. A solutions architect notices that AWS Glue is processing all the data
during each run.
What should the solutions architect do to prevent AWS Glue from reprocessing old data?","A. Edit the job to use job bookmarks.
B. Edit the job to delete data after the data is processed.
C. Edit the job by setting the NumberOfWorkers eld to 1.
D. Use a FindMatches machine learning (ML) transform.",A,A (100% community votes),,,
104,"A solutions architect must design a highly available infrastructure for a website. The website is powered by Windows web servers that run on
Amazon EC2 instances. The solutions architect must implement a solution that can mitigate a large-scale DDoS attack that originates from
thousands of IP addresses. Downtime is not acceptable for the website.
Which actions should the solutions architect take to protect the website from such an attack? (Choose two.)","A. Use AWS Shield Advanced to stop the DDoS attack.
B. Congure Amazon GuardDuty to automatically block the attackers.
C. Congure the website to use Amazon CloudFront for both static and dynamic content.
D. Use an AWS Lambda function to automatically add attacker IP addresses to VPC network ACLs.
E. Use EC2 Spot Instances in an Auto Scaling group with a target tracking scaling policy that is set to 80% CPU utilization.",AC,AC (PDF answer),,,
105,"A company is preparing to deploy a new serverless workload. A solutions architect must use the principle of least privilege to congure
permissions that will be used to run an AWS Lambda function. An Amazon EventBridge (Amazon CloudWatch Events) rule will invoke the
function.
Which solution meets these requirements?","A. Add an execution role to the function with lambda:InvokeFunction as the action and * as the principal.
B. Add an execution role to the function with lambda:InvokeFunction as the action and Service: lambda.amazonaws.com as the principal.
C. Add a resource-based policy to the function with lambda:* as the action and Service: events.amazonaws.com as the principal.
D. Add a resource-based policy to the function with lambda:InvokeFunction as the action and Service: events.amazonaws.com as the
principal.",D,D (97% community votes),,,
106,"A company is preparing to store condential data in Amazon S3. For compliance reasons, the data must be encrypted at rest. Encryption key
usage must be logged for auditing purposes. Keys must be rotated every year.
Which solution meets these requirements and is the MOST operationally ecient?","A. Server-side encryption with customer-provided keys (SSE-C)
B. Server-side encryption with Amazon S3 managed keys (SSE-S3)
C. Server-side encryption with AWS KMS keys (SSE-KMS) with manual rotation
D. Server-side encryption with AWS KMS keys (SSE-KMS) with automatic rotation",D,D (93% community votes),,,
107,"A bicycle sharing company is developing a multi-tier architecture to track the location of its bicycles during peak operating hours. The
company wants to use these data points in its existing analytics platform. A solutions architect must determine the most viable multi-tier
option to support this architecture. The data points must be accessible from the REST API.
Which action meets these requirements for storing and retrieving location data?","A. Use Amazon Athena with Amazon S3.
B. Use Amazon API Gateway with AWS Lambda.
C. Use Amazon QuickSight with Amazon Redshift.
D. Use Amazon API Gateway with Amazon Kinesis Data Analytics.",B,B (50% community votes),,,
108,"A company has an automobile sales website that stores its listings in a database on Amazon RDS. When an automobile is sold, the listing
needs to be removed from the website and the data must be sent to multiple target systems.
Which design should a solutions architect recommend?","A. Create an AWS Lambda function triggered when the database on Amazon RDS is updated to send the information to an Amazon Simple
Queue Service (Amazon SQS) queue for the targets to consume.
B. Create an AWS Lambda function triggered when the database on Amazon RDS is updated to send the information to an Amazon Simple
Queue Service (Amazon SQS) FIFO queue for the targets to consume.
C. Subscribe to an RDS event notication and send an Amazon Simple Queue Service (Amazon SQS) queue fanned out to multiple Amazon
Simple Notication Service (Amazon SNS) topics. Use AWS Lambda functions to update the targets.
D. Subscribe to an RDS event notication and send an Amazon Simple Notication Service (Amazon SNS) topic fanned out to multiple
Amazon Simple Queue Service (Amazon SQS) queues. Use AWS Lambda functions to update the targets.",A,A (63% community votes),,,
109,"A company needs to store data in Amazon S3 and must prevent the data from being changed. The company wants new objects that are
uploaded to Amazon S3 to remain unchangeable for a nonspecic amount of time until the company decides to modify the objects. Only
specic users in the company's AWS account can have the ability 10 delete the objects.
What should a solutions architect do to meet these requirements?","A. Create an S3 Glacier vault. Apply a write-once, read-many (WORM) vault lock policy to the objects.
B. Create an S3 bucket with S3 Object Lock enabled. Enable versioning. Set a retention period of 100 years. Use governance mode as the
S3 bucket’s default retention mode for new objects.
C. Create an S3 bucket. Use AWS CloudTrail to track any S3 API events that modify the objects. Upon notication, restore the modied
objects from any backup versions that the company has.
D. Create an S3 bucket with S3 Object Lock enabled. Enable versioning. Add a legal hold to the objects. Add the s3:PutObjectLegalHold
permission to the IAM policies of users who need to delete the objects.",D,D (76% community votes),,,
110,"A social media company allows users to upload images to its website. The website runs on Amazon EC2 instances. During upload requests,
the website resizes the images to a standard size and stores the resized images in Amazon S3. Users are experiencing slow upload requests
to the website.
The company needs to reduce coupling within the application and improve website performance. A solutions architect must design the most
operationally ecient process for image uploads.
Which combination of actions should the solutions architect take to meet these requirements? (Choose two.)","A. Congure the application to upload images to S3 Glacier.
B. Congure the web server to upload the original images to Amazon S3.
C. Congure the application to upload images directly from each user's browser to Amazon S3 through the use of a presigned URL
D. Congure S3 Event Notications to invoke an AWS Lambda function when an image is uploaded. Use the function to resize the image.
E. Create an Amazon EventBridge (Amazon CloudWatch Events) rule that invokes an AWS Lambda function on a schedule to resize
uploaded images.",BD,BD (PDF answer),,,
111,"A company recently migrated a message processing system to AWS. The system receives messages into an ActiveMQ queue running on an
Amazon EC2 instance. Messages are processed by a consumer application running on Amazon EC2. The consumer application processes the
messages and writes results to a MySQL database running on Amazon EC2. The company wants this application to be highly available with
low operational complexity.
Which architecture offers the HIGHEST availability?","A. Add a second ActiveMQ server to another Availability Zone. Add an additional consumer EC2 instance in another Availability Zone.
Replicate the MySQL database to another Availability Zone.
B. Use Amazon MQ with active/standby brokers congured across two Availability Zones. Add an additional consumer EC2 instance in
another Availability Zone. Replicate the MySQL database to another Availability Zone.
C. Use Amazon MQ with active/standby brokers congured across two Availability Zones. Add an additional consumer EC2 instance in
another Availability Zone. Use Amazon RDS for MySQL with Multi-AZ enabled.
D. Use Amazon MQ with active/standby brokers congured across two Availability Zones. Add an Auto Scaling group for the consumer EC2
instances across two Availability Zones. Use Amazon RDS for MySQL with Multi-AZ enabled.",D,D (98% community votes),,,
112,"A company hosts a containerized web application on a eet of on-premises servers that process incoming requests. The number of requests is
growing quickly. The on-premises servers cannot handle the increased number of requests. The company wants to move the application to
AWS with minimum code changes and minimum development effort.
Which solution will meet these requirements with the LEAST operational overhead?","A. Use AWS Fargate on Amazon Elastic Container Service (Amazon ECS) to run the containerized web application with Service Auto
Scaling. Use an Application Load Balancer to distribute the incoming requests.
B. Use two Amazon EC2 instances to host the containerized web application. Use an Application Load Balancer to distribute the incoming
requests.
C. Use AWS Lambda with a new code that uses one of the supported languages. Create multiple Lambda functions to support the load.
Use Amazon API Gateway as an entry point to the Lambda functions.
D. Use a high performance computing (HPC) solution such as AWS ParallelCluster to establish an HPC cluster that can process the
incoming requests at the appropriate scale.",A,A (100% community votes),,,
113,"A company uses 50 TB of data for reporting. The company wants to move this data from on premises to AWS. A custom application in the
company’s data center runs a weekly data transformation job. The company plans to pause the application until the data transfer is complete
and needs to begin the transfer process as soon as possible.
The data center does not have any available network bandwidth for additional workloads. A solutions architect must transfer the data and
must congure the transformation job to continue to run in the AWS Cloud.
Which solution will meet these requirements with the LEAST operational overhead?","A. Use AWS DataSync to move the data. Create a custom transformation job by using AWS Glue.
B. Order an AWS Snowcone device to move the data. Deploy the transformation application to the device.
C. Order an AWS Snowball Edge Storage Optimized device. Copy the data to the device. Create a custom transformation job by using AWS
Glue.
D. Order an AWS Snowball Edge Storage Optimized device that includes Amazon EC2 compute. Copy the data to the device. Create a new
EC2 instance on AWS to run the transformation application.",C,C (71% community votes),,,
114,"A company has created an image analysis application in which users can upload photos and add photo frames to their images. The users
upload images and metadata to indicate which photo frames they want to add to their images. The application uses a single Amazon EC2
instance and Amazon DynamoDB to store the metadata.
The application is becoming more popular, and the number of users is increasing. The company expects the number of concurrent users to
vary signicantly depending on the time of day and day of week. The company must ensure that the application can scale to meet the needs
of the growing user base.
Which solution meats these requirements?","A. Use AWS Lambda to process the photos. Store the photos and metadata in DynamoDB.
B. Use Amazon Kinesis Data Firehose to process the photos and to store the photos and metadata.
C. Use AWS Lambda to process the photos. Store the photos in Amazon S3. Retain DynamoDB to store the metadata.
D. Increase the number of EC2 instances to three. Use Provisioned IOPS SSD (io2) Amazon Elastic Block Store (Amazon EBS) volumes to
store the photos and metadata.",C,C (100% community votes),,,
115,"A medical records company is hosting an application on Amazon EC2 instances. The application processes customer data les that are stored
on Amazon S3. The EC2 instances are hosted in public subnets. The EC2 instances access Amazon S3 over the internet, but they do not
require any other network access.
A new requirement mandates that the network trac for le transfers take a private route and not be sent over the internet.
Which change to the network architecture should a solutions architect recommend to meet this requirement?","A. Create a NAT gateway. Congure the route table for the public subnets to send trac to Amazon S3 through the NAT gateway.
B. Congure the security group for the EC2 instances to restrict outbound trac so that only trac to the S3 prex list is permitted.
C. Move the EC2 instances to private subnets. Create a VPC endpoint for Amazon S3, and link the endpoint to the route table for the
private subnets.
D. Remove the internet gateway from the VPC. Set up an AWS Direct Connect connection, and route trac to Amazon S3 over the Direct
Connect connection.",C,C (100% community votes),,,
116,"A company uses a popular content management system (CMS) for its corporate website. However, the required patching and maintenance are
burdensome. The company is redesigning its website and wants anew solution. The website will be updated four times a year and does not
need to have any dynamic content available. The solution must provide high scalability and enhanced security.
Which combination of changes will meet these requirements with the LEAST operational overhead? (Choose two.)","A. Congure Amazon CloudFront in front of the website to use HTTPS functionality.
B. Deploy an AWS WAF web ACL in front of the website to provide HTTPS functionality.
C. Create and deploy an AWS Lambda function to manage and serve the website content.
D. Create the new website and an Amazon S3 bucket. Deploy the website on the S3 bucket with static website hosting enabled.
E. Create the new website. Deploy the website by using an Auto Scaling group of Amazon EC2 instances behind an Application Load
Balancer.",AD,AD (PDF answer),,,
117,"A company stores its application logs in an Amazon CloudWatch Logs log group. A new policy requires the company to store all application
logs in Amazon OpenSearch Service (Amazon Elasticsearch Service) in near-real time.
Which solution will meet this requirement with the LEAST operational overhead?","A. Congure a CloudWatch Logs subscription to stream the logs to Amazon OpenSearch Service (Amazon Elasticsearch Service).
B. Create an AWS Lambda function. Use the log group to invoke the function to write the logs to Amazon OpenSearch Service (Amazon
Elasticsearch Service).
C. Create an Amazon Kinesis Data Firehose delivery stream. Congure the log group as the delivery streams sources. Congure Amazon
OpenSearch Service (Amazon Elasticsearch Service) as the delivery stream's destination.
D. Install and congure Amazon Kinesis Agent on each application server to deliver the logs to Amazon Kinesis Data Streams. Congure
Kinesis Data Streams to deliver the logs to Amazon OpenSearch Service (Amazon Elasticsearch Service).",A,A (69% community votes),,,
118,"A company is building a web-based application running on Amazon EC2 instances in multiple Availability Zones. The web application will
provide access to a repository of text documents totaling about 900 TB in size. The company anticipates that the web application will
experience periods of high demand. A solutions architect must ensure that the storage component for the text documents can scale to meet
the demand of the application at all times. The company is concerned about the overall cost of the solution.
Which storage solution meets these requirements MOST cost-effectively?","A. Amazon Elastic Block Store (Amazon EBS)
B. Amazon Elastic File System (Amazon EFS)
C. Amazon OpenSearch Service (Amazon Elasticsearch Service)
D. Amazon S3",D,D (96% community votes),,,
119,"A global company is using Amazon API Gateway to design REST APIs for its loyalty club users in the us-east-1 Region and the ap-southeast-2
Region. A solutions architect must design a solution to protect these API Gateway managed REST APIs across multiple accounts from SQL
injection and cross-site scripting attacks.
Which solution will meet these requirements with the LEAST amount of administrative effort?","A. Set up AWS WAF in both Regions. Associate Regional web ACLs with an API stage.
B. Set up AWS Firewall Manager in both Regions. Centrally congure AWS WAF rules.
C. Set up AWS Shield in bath Regions. Associate Regional web ACLs with an API stage.
D. Set up AWS Shield in one of the Regions. Associate Regional web ACLs with an API stage.",B,B (69% community votes),,,
120,"A company has implemented a self-managed DNS solution on three Amazon EC2 instances behind a Network Load Balancer (NLB) in the us-
west-2 Region. Most of the company's users are located in the United States and Europe. The company wants to improve the performance and
availability of the solution. The company launches and congures three EC2 instances in the eu-west-1 Region and adds the EC2 instances as
targets for a new NLB.
Which solution can the company use to route trac to all the EC2 instances?","A. Create an Amazon Route 53 geolocation routing policy to route requests to one of the two NLBs. Create an Amazon CloudFront
distribution. Use the Route 53 record as the distribution’s origin.
B. Create a standard accelerator in AWS Global Accelerator. Create endpoint groups in us-west-2 and eu-west-1. Add the two NLBs as
endpoints for the endpoint groups.
C. Attach Elastic IP addresses to the six EC2 instances. Create an Amazon Route 53 geolocation routing policy to route requests to one of
the six EC2 instances. Create an Amazon CloudFront distribution. Use the Route 53 record as the distribution's origin.
D. Replace the two NLBs with two Application Load Balancers (ALBs). Create an Amazon Route 53 latency routing policy to route requests
to one of the two ALBs. Create an Amazon CloudFront distribution. Use the Route 53 record as the distribution’s origin.",B,B (75% community votes),,,
121,"A company is running an online transaction processing (OLTP) workload on AWS. This workload uses an unencrypted Amazon RDS DB instance
in a Multi-AZ deployment. Daily database snapshots are taken from this instance.
What should a solutions architect do to ensure the database and snapshots are always encrypted moving forward?","A. Encrypt a copy of the latest DB snapshot. Replace existing DB instance by restoring the encrypted snapshot.
B. Create a new encrypted Amazon Elastic Block Store (Amazon EBS) volume and copy the snapshots to it. Enable encryption on the DB
instance.
C. Copy the snapshots and enable encryption using AWS Key Management Service (AWS KMS) Restore encrypted snapshot to an existing
DB instance.
D. Copy the snapshots to an Amazon S3 bucket that is encrypted using server-side encryption with AWS Key Management Service (AWS
KMS) managed keys (SSE-KMS).",A,A (83% community votes),,,
122,"A company wants to build a scalable key management infrastructure to support developers who need to encrypt data in their applications.
What should a solutions architect do to reduce the operational burden?","A. Use multi-factor authentication (MFA) to protect the encryption keys.
B. Use AWS Key Management Service (AWS KMS) to protect the encryption keys.
C. Use AWS Certicate Manager (ACM) to create, store, and assign the encryption keys.
D. Use an IAM policy to limit the scope of users who have access permissions to protect the encryption keys.",B,B (100% community votes),,,
123,"A company has a dynamic web application hosted on two Amazon EC2 instances. The company has its own SSL certicate, which is on each
instance to perform SSL termination.
There has been an increase in trac recently, and the operations team determined that SSL encryption and decryption is causing the compute
capacity of the web servers to reach their maximum limit.
What should a solutions architect do to increase the application's performance?","A. Create a new SSL certicate using AWS Certicate Manager (ACM). Install the ACM certicate on each instance.
B. Create an Amazon S3 bucket Migrate the SSL certicate to the S3 bucket. Congure the EC2 instances to reference the bucket for SSL
termination.
C. Create another EC2 instance as a proxy server. Migrate the SSL certicate to the new instance and congure it to direct connections to
the existing EC2 instances.
D. Import the SSL certicate into AWS Certicate Manager (ACM). Create an Application Load Balancer with an HTTPS listener that uses
the SSL certicate from ACM.",D,D (96% community votes),,,
124,"A company has a highly dynamic batch processing job that uses many Amazon EC2 instances to complete it. The job is stateless in nature,
can be started and stopped at any given time with no negative impact, and typically takes upwards of 60 minutes total to complete. The
company has asked a solutions architect to design a scalable and cost-effective solution that meets the requirements of the job.
What should the solutions architect recommend?","A. Implement EC2 Spot Instances.
B. Purchase EC2 Reserved Instances.
C. Implement EC2 On-Demand Instances.
D. Implement the processing on AWS Lambda.",A,A (PDF answer),,,
125,"A company runs its two-tier ecommerce website on AWS. The web tier consists of a load balancer that sends trac to Amazon EC2 instances.
The database tier uses an Amazon RDS DB instance. The EC2 instances and the RDS DB instance should not be exposed to the public internet.
The EC2 instances require internet access to complete payment processing of orders through a third-party web service. The application must
be highly available.
Which combination of conguration options will meet these requirements? (Choose two.)","A. Use an Auto Scaling group to launch the EC2 instances in private subnets. Deploy an RDS Multi-AZ DB instance in private subnets.
B. Congure a VPC with two private subnets and two NAT gateways across two Availability Zones. Deploy an Application Load Balancer in
the private subnets.
C. Use an Auto Scaling group to launch the EC2 instances in public subnets across two Availability Zones. Deploy an RDS Multi-AZ DB
instance in private subnets.
D. Congure a VPC with one public subnet, one private subnet, and two NAT gateways across two Availability Zones. Deploy an Application
Load Balancer in the public subnet.
D. Congure a VPC with two public subnets, two private subnets, and two NAT gateways across two Availability Zones. Deploy an
Application Load Balancer in the public subnets.",A,A (17% community votes),,,
126,"A solutions architect needs to implement a solution to reduce a company's storage costs. All the company's data is in the Amazon S3
Standard storage class. The company must keep all data for at least 25 years. Data from the most recent 2 years must be highly available and
immediately retrievable.
Which solution will meet these requirements?","A. Set up an S3 Lifecycle policy to transition objects to S3 Glacier Deep Archive immediately.
B. Set up an S3 Lifecycle policy to transition objects to S3 Glacier Deep Archive after 2 years.
C. Use S3 Intelligent-Tiering. Activate the archiving option to ensure that data is archived in S3 Glacier Deep Archive.
D. Set up an S3 Lifecycle policy to transition objects to S3 One Zone-Infrequent Access (S3 One Zone-IA) immediately and to S3 Glacier
Deep Archive after 2 years.",B,B (79% community votes),,,
127,"A media company is evaluating the possibility of moving its systems to the AWS Cloud. The company needs at least 10 TB of storage with the
maximum possible I/O performance for video processing, 300 TB of very durable storage for storing media content, and 900 TB of storage to
meet requirements for archival media that is not in use anymore.
Which set of services should a solutions architect recommend to meet these requirements?","A. Amazon EBS for maximum performance, Amazon S3 for durable data storage, and Amazon S3 Glacier for archival storage
B. Amazon EBS for maximum performance, Amazon EFS for durable data storage, and Amazon S3 Glacier for archival storage
C. Amazon EC2 instance store for maximum performance, Amazon EFS for durable data storage, and Amazon S3 for archival storage
D. Amazon EC2 instance store for maximum performance, Amazon S3 for durable data storage, and Amazon S3 Glacier for archival storage",D,D (62% community votes),,,
128,"A company wants to run applications in containers in the AWS Cloud. These applications are stateless and can tolerate disruptions within the
underlying infrastructure. The company needs a solution that minimizes cost and operational overhead.
What should a solutions architect do to meet these requirements?","A. Use Spot Instances in an Amazon EC2 Auto Scaling group to run the application containers.
B. Use Spot Instances in an Amazon Elastic Kubernetes Service (Amazon EKS) managed node group.
C. Use On-Demand Instances in an Amazon EC2 Auto Scaling group to run the application containers.
D. Use On-Demand Instances in an Amazon Elastic Kubernetes Service (Amazon EKS) managed node group.",B,B (72% community votes),,,
129,"A company is running a multi-tier web application on premises. The web application is containerized and runs on a number of Linux hosts
connected to a PostgreSQL database that contains user records. The operational overhead of maintaining the infrastructure and capacity
planning is limiting the company's growth. A solutions architect must improve the application's infrastructure.
Which combination of actions should the solutions architect take to accomplish this? (Choose two.)","A. Migrate the PostgreSQL database to Amazon Aurora.
B. Migrate the web application to be hosted on Amazon EC2 instances.
C. Set up an Amazon CloudFront distribution for the web application content.
D. Set up Amazon ElastiCache between the web application and the PostgreSQL database.
E. Migrate the web application to be hosted on AWS Fargate with Amazon Elastic Container Service (Amazon ECS).",AE,AE (PDF answer),,,
130,"An application runs on Amazon EC2 instances across multiple Availability Zonas. The instances run in an Amazon EC2 Auto Scaling group
behind an Application Load Balancer. The application performs best when the CPU utilization of the EC2 instances is at or near 40%.
What should a solutions architect do to maintain the desired performance across all instances in the group?","A. Use a simple scaling policy to dynamically scale the Auto Scaling group.
B. Use a target tracking policy to dynamically scale the Auto Scaling group.
C. Use an AWS Lambda function ta update the desired Auto Scaling group capacity.
D. Use scheduled scaling actions to scale up and scale down the Auto Scaling group.",B,B (100% community votes),,,
131,"A company is developing a le-sharing application that will use an Amazon S3 bucket for storage. The company wants to serve all the les
through an Amazon CloudFront distribution. The company does not want the les to be accessible through direct navigation to the S3 URL.
What should a solutions architect do to meet these requirements?","A. Write individual policies for each S3 bucket to grant read permission for only CloudFront access.
B. Create an IAM user. Grant the user read permission to objects in the S3 bucket. Assign the user to CloudFront.
C. Write an S3 bucket policy that assigns the CloudFront distribution ID as the Principal and assigns the target S3 bucket as the Amazon
Resource Name (ARN).
D. Create an origin access identity (OAI). Assign the OAI to the CloudFront distribution. Congure the S3 bucket permissions so that only
the OAI has read permission.",D,D (100% community votes),,,
132,"A company’s website provides users with downloadable historical performance reports. The website needs a solution that will scale to meet
the company’s website demands globally. The solution should be cost-effective, limit the provisioning of infrastructure resources, and provide
the fastest possible response time.
Which combination should a solutions architect recommend to meet these requirements?","A. Amazon CloudFront and Amazon S3
B. AWS Lambda and Amazon DynamoDB
C. Application Load Balancer with Amazon EC2 Auto Scaling
D. Amazon Route 53 with internal Application Load Balancers",A,A (95% community votes),,,
133,"A company runs an Oracle database on premises. As part of the company’s migration to AWS, the company wants to upgrade the database to
the most recent available version. The company also wants to set up disaster recovery (DR) for the database. The company needs to minimize
the operational overhead for normal operations and DR setup. The company also needs to maintain access to the database's underlying
operating system.
Which solution will meet these requirements?","A. Migrate the Oracle database to an Amazon EC2 instance. Set up database replication to a different AWS Region.
B. Migrate the Oracle database to Amazon RDS for Oracle. Activate Cross-Region automated backups to replicate the snapshots to
another AWS Region.
C. Migrate the Oracle database to Amazon RDS Custom for Oracle. Create a read replica for the database in another AWS Region.
D. Migrate the Oracle database to Amazon RDS for Oracle. Create a standby database in another Availability Zone.",C,C (49% community votes),,,
134,"A company wants to move its application to a serverless solution. The serverless solution needs to analyze existing and new data by using SL.
The company stores the data in an Amazon S3 bucket. The data requires encryption and must be replicated to a different AWS Region.
Which solution will meet these requirements with the LEAST operational overhead?","A. Create a new S3 bucket. Load the data into the new S3 bucket. Use S3 Cross-Region Replication (CRR) to replicate encrypted objects to
an S3 bucket in another Region. Use server-side encryption with AWS KMS multi-Region kays (SSE-KMS). Use Amazon Athena to query the
data.
B. Create a new S3 bucket. Load the data into the new S3 bucket. Use S3 Cross-Region Replication (CRR) to replicate encrypted objects to
an S3 bucket in another Region. Use server-side encryption with AWS KMS multi-Region keys (SSE-KMS). Use Amazon RDS to query the
data.
C. Load the data into the existing S3 bucket. Use S3 Cross-Region Replication (CRR) to replicate encrypted objects to an S3 bucket in
another Region. Use server-side encryption with Amazon S3 managed encryption keys (SSE-S3). Use Amazon Athena to query the data.
D. Load the data into the existing S3 bucket. Use S3 Cross-Region Replication (CRR) to replicate encrypted objects to an S3 bucket in
another Region. Use server-side encryption with Amazon S3 managed encryption keys (SSE-S3). Use Amazon RDS to query the data.",C,C (52% community votes),,,
135,"A company runs workloads on AWS. The company needs to connect to a service from an external provider. The service is hosted in the
provider's VPC. According to the company’s security team, the connectivity must be private and must be restricted to the target service. The
connection must be initiated only from the company’s VPC.
Which solution will mast these requirements?","A. Create a VPC peering connection between the company's VPC and the provider's VPC. Update the route table to connect to the target
service.
B. Ask the provider to create a virtual private gateway in its VPC. Use AWS PrivateLink to connect to the target service.
C. Create a NAT gateway in a public subnet of the company’s VPUpdate the route table to connect to the target service.
D. Ask the provider to create a VPC endpoint for the target service. Use AWS PrivateLink to connect to the target service.",D,D (100% community votes),,,
136,"A company is migrating its on-premises PostgreSQL database to Amazon Aurora PostgreSQL. The on-premises database must remain online
and accessible during the migration. The Aurora database must remain synchronized with the on-premises database.
Which combination of actions must a solutions architect take to meet these requirements? (Choose two.)","A. Create an ongoing replication task.
B. Create a database backup of the on-premises database.
C. Create an AWS Database Migration Service (AWS DMS) replication server.
D. Convert the database schema by using the AWS Schema Conversion Tool (AWS SCT).
E. Create an Amazon EventBridge (Amazon CloudWatch Events) rule to monitor the database synchronization.",CD,CD (PDF answer),,,
137,"A company uses AWS Organizations to create dedicated AWS accounts for each business unit to manage each business unit's account
independently upon request. The root email recipient missed a notication that was sent to the root user email address of one account. The
company wants to ensure that all future notications are not missed. Future notications must be limited to account administrators.
Which solution will meet these requirements?","A. Congure the company’s email server to forward notication email messages that are sent to the AWS account root user email address
to all users in the organization.
B. Congure all AWS account root user email addresses as distribution lists that go to a few administrators who can respond to alerts.
Congure AWS account alternate contacts in the AWS Organizations console or programmatically.
C. Congure all AWS account root user email messages to be sent to one administrator who is responsible for monitoring alerts and
forwarding those alerts to the appropriate groups.
D. Congure all existing AWS accounts and all newly created accounts to use the same root user email address. Congure AWS account
alternate contacts in the AWS Organizations console or programmatically.",B,B (89% community votes),,,
138,"A company runs its ecommerce application on AWS. Every new order is published as a massage in a RabbitMQ queue that runs on an Amazon
EC2 instance in a single Availability Zone. These messages are processed by a different application that runs on a separate EC2 instance.
This application stores the details in a PostgreSQL database on another EC2 instance. All the EC2 instances are in the same Availability Zone.
The company needs to redesign its architecture to provide the highest availability with the least operational overhead.
What should a solutions architect do to meet these requirements?","A. Migrate the queue to a redundant pair (active/standby) of RabbitMQ instances on Amazon MQ. Create a Multi-AZ Auto Scaling group for
EC2 instances that host the application. Create another Multi-AZ Auto Scaling group for EC2 instances that host the PostgreSQL database.
B. Migrate the queue to a redundant pair (active/standby) of RabbitMQ instances on Amazon MQ. Create a Multi-AZ Auto Scaling group for
EC2 instances that host the application. Migrate the database to run on a Multi-AZ deployment of Amazon RDS for PostgreSQL.
C. Create a Multi-AZ Auto Scaling group for EC2 instances that host the RabbitMQ queue. Create another Multi-AZ Auto Scaling group for
EC2 instances that host the application. Migrate the database to run on a Multi-AZ deployment of Amazon RDS for PostgreSQL.
D. Create a Multi-AZ Auto Scaling group for EC2 instances that host the RabbitMQ queue. Create another Multi-AZ Auto Scaling group for
EC2 instances that host the application. Create a third Multi-AZ Auto Scaling group for EC2 instances that host the PostgreSQL database",B,B (100% community votes),,,
139,"A reporting team receives les each day in an Amazon S3 bucket. The reporting team manually reviews and copies the les from this initial S3
bucket to an analysis S3 bucket each day at the same time to use with Amazon QuickSight. Additional teams are starting to send more les in
larger sizes to the initial S3 bucket.
The reporting team wants to move the les automatically analysis S3 bucket as the les enter the initial S3 bucket. The reporting team also
wants to use AWS Lambda functions to run pattern-matching code on the copied data. In addition, the reporting team wants to send the data
les to a pipeline in Amazon SageMaker Pipelines.
What should a solutions architect do to meet these requirements with the LEAST operational overhead?","A. Create a Lambda function to copy the les to the analysis S3 bucket. Create an S3 event notication for the analysis S3 bucket.
Congure Lambda and SageMaker Pipelines as destinations of the event notication. Congure s3:ObjectCreated:Put as the event type.
B. Create a Lambda function to copy the les to the analysis S3 bucket. Congure the analysis S3 bucket to send event notications to
Amazon EventBridge (Amazon CloudWatch Events). Congure an ObjectCreated rule in EventBridge (CloudWatch Events). Congure
Lambda and SageMaker Pipelines as targets for the rule.
C. Congure S3 replication between the S3 buckets. Create an S3 event notication for the analysis S3 bucket. Congure Lambda and
SageMaker Pipelines as destinations of the event notication. Congure s3:ObjectCreated:Put as the event type.
D. Congure S3 replication between the S3 buckets. Congure the analysis S3 bucket to send event notications to Amazon EventBridge
(Amazon CloudWatch Events). Congure an ObjectCreated rule in EventBridge (CloudWatch Events). Congure Lambda and SageMaker
Pipelines as targets for the rule.",D,D (78% community votes),,,
